Game,Month,Year,Avg,Peak
Sid Meier's Civilization III: Complete,April ,2017,734.61,1248
Sid Meier's Civilization III: Complete,March ,2017,738.19,1295
Sid Meier's Civilization III: Complete,February ,2017,760.84,1304
Sid Meier's Civilization III: Complete,January ,2017,775.89,1340
Sid Meier's Civilization III: Complete,December ,2016,736.97,1201
Sid Meier's Civilization III: Complete,November ,2016,703.11,1195
Sid Meier's Civilization III: Complete,October ,2016,666.39,1157
Sid Meier's Civilization III: Complete,September ,2016,614.53,1009
Sid Meier's Civilization III: Complete,August ,2016,614.19,1018
Sid Meier's Civilization III: Complete,July ,2016,627.96,1015
Sid Meier's Civilization III: Complete,June ,2016,621.33,1065
Sid Meier's Civilization III: Complete,May ,2016,649.03,1197
Sid Meier's Civilization III: Complete,April ,2016,604.53,1017
Sid Meier's Civilization III: Complete,March ,2016,618.3,1055
Sid Meier's Civilization III: Complete,February ,2016,639.99,1118
Sid Meier's Civilization III: Complete,January ,2016,642.16,1174
Sid Meier's Civilization III: Complete,December ,2015,566.99,961
Sid Meier's Civilization III: Complete,November ,2015,514.89,916
Sid Meier's Civilization III: Complete,October ,2015,488.14,837
Sid Meier's Civilization III: Complete,September ,2015,442.98,768
Sid Meier's Civilization III: Complete,August ,2015,449.58,758
Sid Meier's Civilization III: Complete,July ,2015,426.64,757
Sid Meier's Civilization III: Complete,June ,2015,418.89,743
Sid Meier's Civilization III: Complete,May ,2015,409.2,691
Sid Meier's Civilization III: Complete,April ,2015,393.98,690
Sid Meier's Civilization III: Complete,March ,2015,456.5,864
Sid Meier's Civilization III: Complete,February ,2015,481.2,837
Sid Meier's Civilization III: Complete,January ,2015,482.31,829
Sid Meier's Civilization III: Complete,December ,2014,429.72,777
Sid Meier's Civilization III: Complete,November ,2014,409.67,724
Sid Meier's Civilization III: Complete,October ,2014,382.22,666
Sid Meier's Civilization III: Complete,September ,2014,384.95,683
Sid Meier's Civilization III: Complete,August ,2014,405.8,709
Sid Meier's Civilization III: Complete,July ,2014,394.79,671
Sid Meier's Civilization III: Complete,June ,2014,397.73,667
Sid Meier's Civilization III: Complete,May ,2014,348.29,588
Sid Meier's Civilization III: Complete,April ,2014,354.73,598
Sid Meier's Civilization III: Complete,March ,2014,388.64,701
Sid Meier's Civilization III: Complete,February ,2014,444.56,878
Sid Meier's Civilization III: Complete,January ,2014,332.24,614
Sid Meier's Civilization III: Complete,December ,2013,303.09,567
Sid Meier's Civilization III: Complete,November ,2013,253.85,448
Sid Meier's Civilization III: Complete,October ,2013,231.54,412
Sid Meier's Civilization III: Complete,September ,2013,243.27,430
Sid Meier's Civilization III: Complete,August ,2013,221.69,392
Sid Meier's Civilization III: Complete,July ,2013,222.76,385
Sid Meier's Civilization III: Complete,June ,2013,228.7,467
Sid Meier's Civilization III: Complete,May ,2013,207.79,370
Sid Meier's Civilization III: Complete,April ,2013,203.21,366
Sid Meier's Civilization III: Complete,March ,2013,217.74,394
Sid Meier's Civilization III: Complete,February ,2013,217.55,420
Sid Meier's Civilization III: Complete,January ,2013,247.16,504
Sid Meier's Civilization III: Complete,December ,2012,209.9,360
Sid Meier's Civilization III: Complete,November ,2012,182.54,348
Sid Meier's Civilization III: Complete,October ,2012,171.42,323
Sid Meier's Civilization III: Complete,September ,2012,175.82,329
Sid Meier's Civilization III: Complete,August ,2012,188.14,305
Sid Meier's Civilization III: Complete,July ,2012,242.37,470
DCS World Steam Edition,February ,2021,1067.56,1890
DCS World Steam Edition,January ,2021,1115.14,1942
DCS World Steam Edition,December ,2020,1072.5,2110
DCS World Steam Edition,November ,2020,961.41,1669
DCS World Steam Edition,October ,2020,855.29,1704
DCS World Steam Edition,September ,2020,786.07,1267
DCS World Steam Edition,August ,2020,897.86,1385
DCS World Steam Edition,July ,2020,952.11,1542
DCS World Steam Edition,June ,2020,987.43,1700
DCS World Steam Edition,May ,2020,1246.46,2306
DCS World Steam Edition,April ,2020,1430.18,2894
DCS World Steam Edition,March ,2020,1155.23,2466
DCS World Steam Edition,February ,2020,887.16,1423
DCS World Steam Edition,January ,2020,915.44,1557
DCS World Steam Edition,December ,2019,844.12,1610
DCS World Steam Edition,November ,2019,666.83,1257
DCS World Steam Edition,October ,2019,666.86,1376
DCS World Steam Edition,September ,2019,549.93,993
DCS World Steam Edition,August ,2019,549.77,960
DCS World Steam Edition,July ,2019,572.71,1917
DCS World Steam Edition,June ,2019,496,903
DCS World Steam Edition,May ,2019,511.71,867
DCS World Steam Edition,April ,2019,593.36,1105
DCS World Steam Edition,March ,2019,588.86,1190
DCS World Steam Edition,February ,2019,524.47,1046
DCS World Steam Edition,January ,2019,489.82,832
DCS World Steam Edition,December ,2018,438.91,820
DCS World Steam Edition,November ,2018,367.09,842
DCS World Steam Edition,October ,2018,352.43,654
DCS World Steam Edition,September ,2018,315.47,805
DCS World Steam Edition,August ,2018,284.31,510
DCS World Steam Edition,July ,2018,325.24,602
DCS World Steam Edition,June ,2018,377.73,703
DCS World Steam Edition,May ,2018,274.31,501
DCS World Steam Edition,April ,2018,345.7,1001
DCS World Steam Edition,March ,2018,263.51,475
DCS World Steam Edition,February ,2018,316.71,647
DCS World Steam Edition,January ,2018,309.33,563
DCS World Steam Edition,December ,2017,282.81,565
DCS World Steam Edition,November ,2017,231.61,439
DCS World Steam Edition,October ,2017,203.86,438
DCS World Steam Edition,September ,2017,200.63,386
DCS World Steam Edition,August ,2017,210.56,348
DCS World Steam Edition,July ,2017,232.11,466
DCS World Steam Edition,June ,2017,208.3,435
DCS World Steam Edition,May ,2017,192.44,381
DCS World Steam Edition,April ,2017,143.05,312
DCS World Steam Edition,March ,2017,139.33,256
DCS World Steam Edition,February ,2017,162.28,313
DCS World Steam Edition,January ,2017,166.2,315
DCS World Steam Edition,December ,2016,158.5,299
DCS World Steam Edition,November ,2016,140.24,263
DCS World Steam Edition,October ,2016,127.65,251
DCS World Steam Edition,September ,2016,120.86,222
DCS World Steam Edition,August ,2016,134.14,229
DCS World Steam Edition,July ,2016,138.35,237
DCS World Steam Edition,June ,2016,132.27,258
DCS World Steam Edition,May ,2016,142.97,274
DCS World Steam Edition,April ,2016,145.84,282
DCS World Steam Edition,March ,2016,153.76,299
DCS World Steam Edition,February ,2016,173.09,327
DCS World Steam Edition,January ,2016,175.8,336
DCS World Steam Edition,December ,2015,150.52,329
DCS World Steam Edition,November ,2015,142.71,301
DCS World Steam Edition,October ,2015,154.81,310
DCS World Steam Edition,September ,2015,118.37,265
DCS World Steam Edition,August ,2015,118.21,226
DCS World Steam Edition,July ,2015,113.47,200
DCS World Steam Edition,June ,2015,122.22,277
DCS World Steam Edition,May ,2015,104.88,201
DCS World Steam Edition,April ,2015,133.43,307
DCS World Steam Edition,March ,2015,140.47,412
DCS World Steam Edition,February ,2015,139.69,262
DCS World Steam Edition,January ,2015,176.08,341
DCS World Steam Edition,December ,2014,158.71,334
DCS World Steam Edition,November ,2014,144.33,366
DCS World Steam Edition,October ,2014,132.36,279
DCS World Steam Edition,September ,2014,142.66,408
DCS World Steam Edition,August ,2014,116.05,236
DCS World Steam Edition,July ,2014,91.87,173
DCS World Steam Edition,June ,2014,78.44,192
DCS World Steam Edition,May ,2014,80.62,180
DCS World Steam Edition,April ,2014,84.86,171
DCS World Steam Edition,March ,2014,84.55,219
DCS World Steam Edition,February ,2014,34.89,161
DCS World Steam Edition,January ,2014,1.77,6
DCS World Steam Edition,December ,2013,2.04,6
DCS World Steam Edition,November ,2013,1.99,8
DCS World Steam Edition,October ,2013,2.34,9
DCS World Steam Edition,September ,2013,3.05,11
DCS World Steam Edition,August ,2013,6.39,22
Mafia: Definitive Edition,February ,2021,714.05,1891
Mafia: Definitive Edition,January ,2021,873.5,2474
Mafia: Definitive Edition,December ,2020,836.71,2345
Mafia: Definitive Edition,November ,2020,878.2,2588
Mafia: Definitive Edition,October ,2020,3239.81,13589
Last Oasis,February ,2021,953.92,1790
Last Oasis,January ,2021,1836.79,3237
Last Oasis,December ,2020,2389.99,4383
Last Oasis,November ,2020,1318.47,5886
Last Oasis,October ,2020,462.53,1308
Last Oasis,September ,2020,366.33,700
Last Oasis,August ,2020,838.12,1333
Last Oasis,July ,2020,1466.49,2718
Last Oasis,June ,2020,3523.76,7361
Last Oasis,May ,2020,8399.85,16564
Last Oasis,April ,2020,14852.31,33104
My Summer Car,February ,2021,874.61,1761
My Summer Car,January ,2021,870.02,1652
My Summer Car,December ,2020,677.13,1396
My Summer Car,November ,2020,692.09,1427
My Summer Car,October ,2020,639.22,1372
My Summer Car,September ,2020,602.26,1168
My Summer Car,August ,2020,637.67,1122
My Summer Car,July ,2020,619.25,1051
My Summer Car,June ,2020,671.79,1364
My Summer Car,May ,2020,702.36,1283
My Summer Car,April ,2020,935.92,1730
My Summer Car,March ,2020,827.28,1666
My Summer Car,February ,2020,546.2,1180
My Summer Car,January ,2020,684.58,1422
My Summer Car,December ,2019,637.71,1331
My Summer Car,November ,2019,616.59,1497
My Summer Car,October ,2019,548.11,1168
My Summer Car,September ,2019,440.75,924
My Summer Car,August ,2019,539.63,1013
My Summer Car,July ,2019,632.74,1252
My Summer Car,June ,2019,463.53,861
My Summer Car,May ,2019,619.03,1459
My Summer Car,April ,2019,562.03,1588
My Summer Car,March ,2019,418.05,934
My Summer Car,February ,2019,496.75,1024
My Summer Car,January ,2019,488.44,1061
My Summer Car,December ,2018,443.4,1009
My Summer Car,November ,2018,494.31,1295
My Summer Car,October ,2018,516.18,1334
My Summer Car,September ,2018,469.62,1137
My Summer Car,August ,2018,548.14,1116
My Summer Car,July ,2018,441.2,1160
My Summer Car,June ,2018,354.01,685
My Summer Car,May ,2018,416.73,888
My Summer Car,April ,2018,471.34,923
My Summer Car,March ,2018,531.65,1244
My Summer Car,February ,2018,626.85,1442
My Summer Car,January ,2018,583.93,1564
My Summer Car,December ,2017,639.89,1544
My Summer Car,November ,2017,644.19,1428
My Summer Car,October ,2017,644.84,1620
My Summer Car,September ,2017,591.47,1422
My Summer Car,August ,2017,606.61,1165
My Summer Car,July ,2017,613.49,1197
My Summer Car,June ,2017,552.76,1182
My Summer Car,May ,2017,435.02,948
My Summer Car,April ,2017,624.44,1919
My Summer Car,March ,2017,552.53,1345
My Summer Car,February ,2017,682.2,1653
My Summer Car,January ,2017,700.9,1529
My Summer Car,December ,2016,771.8,1657
My Summer Car,November ,2016,1461.82,4505
My Summer Car,October ,2016,917.2,5509
Banished,February ,2021,1139.1,1953
Banished,January ,2021,1169.08,1924
Banished,December ,2020,1148.57,1924
Banished,November ,2020,1368.86,2604
Banished,October ,2020,1095.89,1777
Banished,September ,2020,1003.12,1535
Banished,August ,2020,1008.7,1571
Banished,July ,2020,1032.55,1617
Banished,June ,2020,1129.12,2000
Banished,May ,2020,1158.29,1887
Banished,April ,2020,1394.1,2166
Banished,March ,2020,1390.33,2469
Banished,February ,2020,1301.28,2386
Banished,January ,2020,1262.11,2210
Banished,December ,2019,1314.66,2252
Banished,November ,2019,1226.11,2111
Banished,October ,2019,1247.4,2151
Banished,September ,2019,1434.08,3426
Banished,August ,2019,1024.56,1711
Banished,July ,2019,1223.04,2293
Banished,June ,2019,1096.75,1861
Banished,May ,2019,1002.23,1740
Banished,April ,2019,1088.62,1842
Banished,March ,2019,1311.57,2526
Banished,February ,2019,1459.1,2593
Banished,January ,2019,1581.17,2923
Banished,December ,2018,1426.83,2742
Banished,November ,2018,1248.94,2500
Banished,October ,2018,1231.42,2155
Banished,September ,2018,1406.47,2411
Banished,August ,2018,1221.53,1990
Banished,July ,2018,1532.5,3021
Banished,June ,2018,1254.85,2283
Banished,May ,2018,1248.14,2060
Banished,April ,2018,1270.85,2135
Banished,March ,2018,1350.76,2379
Banished,February ,2018,1403.78,2538
Banished,January ,2018,1703.11,3298
Banished,December ,2017,1914.9,5152
Banished,November ,2017,1453.14,2975
Banished,October ,2017,1382.88,2358
Banished,September ,2017,1384.22,2443
Banished,August ,2017,1430.99,2396
Banished,July ,2017,2088.4,5177
Banished,June ,2017,1691.8,4255
Banished,May ,2017,1422.53,2468
Banished,April ,2017,1295.19,2229
Banished,March ,2017,1459.54,2652
Banished,February ,2017,1789.69,3137
Banished,January ,2017,2394.24,4442
Banished,December ,2016,1829.62,4503
Banished,November ,2016,1443.04,3211
Banished,October ,2016,1279.37,2339
Banished,September ,2016,1387.4,2548
Banished,August ,2016,1340.17,2274
Banished,July ,2016,1578.94,3065
Banished,June ,2016,1507.6,3678
Banished,May ,2016,1402.03,2641
Banished,April ,2016,1414.54,2541
Banished,March ,2016,1503.31,2707
Banished,February ,2016,1775.73,3345
Banished,January ,2016,2203.56,5579
Banished,December ,2015,1922.06,3679
Banished,November ,2015,2183.74,6061
Banished,October ,2015,1346.45,2372
Banished,September ,2015,1307.64,2442
Banished,August ,2015,1335.83,2267
Banished,July ,2015,1532.36,2901
Banished,June ,2015,2264.87,7306
Banished,May ,2015,1291.62,2291
Banished,April ,2015,1249.36,2287
Banished,March ,2015,2066.97,6926
Banished,February ,2015,2070.71,5964
Banished,January ,2015,2286.74,5429
Banished,December ,2014,2431.98,8000
Banished,November ,2014,2606.04,6571
Banished,October ,2014,1195.7,2236
Banished,September ,2014,1229.68,2391
Banished,August ,2014,1243.08,2142
Banished,July ,2014,2118.48,6178
Banished,June ,2014,2244.25,9095
Banished,May ,2014,1528.73,3069
Banished,April ,2014,2497.41,4998
Banished,March ,2014,5875.34,16921
Banished,February ,2014,4630.92,24568
Banished,January ,2014,0.62,5
Banished,December ,2013,0.43,3
Banished,November ,2013,1.23,7
Banished,October ,2013,2.12,8
XCOM: Enemy Unknown,February ,2021,1024.49,1973
XCOM: Enemy Unknown,January ,2021,822.33,1430
XCOM: Enemy Unknown,December ,2020,810.1,1329
XCOM: Enemy Unknown,November ,2020,787.35,1344
XCOM: Enemy Unknown,October ,2020,702.97,1192
XCOM: Enemy Unknown,September ,2020,795.27,1383
XCOM: Enemy Unknown,August ,2020,716.33,1335
XCOM: Enemy Unknown,July ,2020,795.08,1393
XCOM: Enemy Unknown,June ,2020,863.47,1488
XCOM: Enemy Unknown,May ,2020,1709.42,3955
XCOM: Enemy Unknown,April ,2020,1445.43,3533
XCOM: Enemy Unknown,March ,2020,1072.07,2133
XCOM: Enemy Unknown,February ,2020,856.23,1606
XCOM: Enemy Unknown,January ,2020,886.58,1715
XCOM: Enemy Unknown,December ,2019,939.73,1647
XCOM: Enemy Unknown,November ,2019,942.82,1663
XCOM: Enemy Unknown,October ,2019,720.94,1319
XCOM: Enemy Unknown,September ,2019,739.18,1345
XCOM: Enemy Unknown,August ,2019,906.21,1758
XCOM: Enemy Unknown,July ,2019,882.26,1680
XCOM: Enemy Unknown,June ,2019,884.03,1477
XCOM: Enemy Unknown,May ,2019,855.92,1818
XCOM: Enemy Unknown,April ,2019,774.44,1422
XCOM: Enemy Unknown,March ,2019,917.74,1641
XCOM: Enemy Unknown,February ,2019,1060.39,2196
XCOM: Enemy Unknown,January ,2019,1025.1,1930
XCOM: Enemy Unknown,December ,2018,1080.82,1909
XCOM: Enemy Unknown,November ,2018,1016.32,1913
XCOM: Enemy Unknown,October ,2018,986.87,1869
XCOM: Enemy Unknown,September ,2018,919.54,1659
XCOM: Enemy Unknown,August ,2018,1007.09,1775
XCOM: Enemy Unknown,July ,2018,1112.36,1903
XCOM: Enemy Unknown,June ,2018,1042.1,1902
XCOM: Enemy Unknown,May ,2018,1067.2,1905
XCOM: Enemy Unknown,April ,2018,1163.69,2315
XCOM: Enemy Unknown,March ,2018,1348.65,3034
XCOM: Enemy Unknown,February ,2018,1225.24,2337
XCOM: Enemy Unknown,January ,2018,1338.24,2602
XCOM: Enemy Unknown,December ,2017,1333.94,2413
XCOM: Enemy Unknown,November ,2017,1296.56,2499
XCOM: Enemy Unknown,October ,2017,1299.19,2625
XCOM: Enemy Unknown,September ,2017,1778.04,3459
XCOM: Enemy Unknown,August ,2017,1416.35,2678
XCOM: Enemy Unknown,July ,2017,1636.47,3000
XCOM: Enemy Unknown,June ,2017,1418.07,2914
XCOM: Enemy Unknown,May ,2017,1130.69,2039
XCOM: Enemy Unknown,April ,2017,1217.55,2310
XCOM: Enemy Unknown,March ,2017,1534.45,3807
XCOM: Enemy Unknown,February ,2017,1673.83,3370
XCOM: Enemy Unknown,January ,2017,2118.84,3955
XCOM: Enemy Unknown,December ,2016,1718.82,3342
XCOM: Enemy Unknown,November ,2016,1468.54,3007
XCOM: Enemy Unknown,October ,2016,1506.93,2731
XCOM: Enemy Unknown,September ,2016,1464.92,2665
XCOM: Enemy Unknown,August ,2016,1814.31,3908
XCOM: Enemy Unknown,July ,2016,1928.12,3864
XCOM: Enemy Unknown,June ,2016,1705.09,3495
XCOM: Enemy Unknown,May ,2016,1649.93,3207
XCOM: Enemy Unknown,April ,2016,2006.37,4292
XCOM: Enemy Unknown,March ,2016,3520.81,7752
XCOM: Enemy Unknown,February ,2016,9548.01,22358
XCOM: Enemy Unknown,January ,2016,7709.54,18668
XCOM: Enemy Unknown,December ,2015,5264.49,11608
XCOM: Enemy Unknown,November ,2015,3168.15,5921
XCOM: Enemy Unknown,October ,2015,3681.54,7583
XCOM: Enemy Unknown,September ,2015,5975.39,19807
XCOM: Enemy Unknown,August ,2015,3796.1,6678
XCOM: Enemy Unknown,July ,2015,4257.52,7978
XCOM: Enemy Unknown,June ,2015,6255.66,13031
XCOM: Enemy Unknown,May ,2015,2823.25,5066
XCOM: Enemy Unknown,April ,2015,3064.04,5977
XCOM: Enemy Unknown,March ,2015,4065.47,9488
XCOM: Enemy Unknown,February ,2015,3190.58,6119
XCOM: Enemy Unknown,January ,2015,4021.8,8186
XCOM: Enemy Unknown,December ,2014,4037.04,8718
XCOM: Enemy Unknown,November ,2014,3904.43,8937
XCOM: Enemy Unknown,October ,2014,5675.61,20973
XCOM: Enemy Unknown,September ,2014,3985.98,9581
XCOM: Enemy Unknown,August ,2014,5124.14,14906
XCOM: Enemy Unknown,July ,2014,5165.23,9967
XCOM: Enemy Unknown,June ,2014,5331.19,15733
XCOM: Enemy Unknown,May ,2014,2867.16,8958
XCOM: Enemy Unknown,April ,2014,2343.66,4364
XCOM: Enemy Unknown,March ,2014,2934.08,6514
XCOM: Enemy Unknown,February ,2014,3395.85,7570
XCOM: Enemy Unknown,January ,2014,6557.16,17258
XCOM: Enemy Unknown,December ,2013,7085.13,17584
XCOM: Enemy Unknown,November ,2013,8422.74,29132
XCOM: Enemy Unknown,October ,2013,4885.29,19135
XCOM: Enemy Unknown,September ,2013,2505.22,5793
XCOM: Enemy Unknown,August ,2013,3481.04,6330
XCOM: Enemy Unknown,July ,2013,3977.1,12252
XCOM: Enemy Unknown,June ,2013,2054.04,4707
XCOM: Enemy Unknown,May ,2013,2875.26,7073
XCOM: Enemy Unknown,April ,2013,2587.59,5460
XCOM: Enemy Unknown,March ,2013,3027.48,9228
XCOM: Enemy Unknown,February ,2013,2984.53,6311
XCOM: Enemy Unknown,January ,2013,4891.62,11665
XCOM: Enemy Unknown,December ,2012,5211.39,12572
XCOM: Enemy Unknown,November ,2012,7653.91,18995
XCOM: Enemy Unknown,October ,2012,20353.15,70560
OMSI 2,February ,2021,833.31,1765
OMSI 2,January ,2021,876.27,1730
OMSI 2,December ,2020,949.35,2129
OMSI 2,November ,2020,711.9,1582
OMSI 2,October ,2020,712.38,1545
OMSI 2,September ,2020,641,1445
OMSI 2,August ,2020,654.49,1399
OMSI 2,July ,2020,677.35,1299
OMSI 2,June ,2020,734.76,1620
OMSI 2,May ,2020,787.71,1774
OMSI 2,April ,2020,932.34,1886
OMSI 2,March ,2020,876.49,2095
OMSI 2,February ,2020,687.72,1670
OMSI 2,January ,2020,674.75,1528
OMSI 2,December ,2019,698.74,1541
OMSI 2,November ,2019,641.74,1532
OMSI 2,October ,2019,615.72,1407
OMSI 2,September ,2019,618.98,1414
OMSI 2,August ,2019,611.32,1243
OMSI 2,July ,2019,607.19,1336
OMSI 2,June ,2019,609.79,1251
OMSI 2,May ,2019,619.03,1464
OMSI 2,April ,2019,632.11,1406
OMSI 2,March ,2019,637.35,1500
OMSI 2,February ,2019,671.15,1628
OMSI 2,January ,2019,657.96,1546
OMSI 2,December ,2018,690.33,1668
OMSI 2,November ,2018,576.13,1359
OMSI 2,October ,2018,577.58,1303
OMSI 2,September ,2018,621.46,1532
OMSI 2,August ,2018,553.9,1226
OMSI 2,July ,2018,570.07,1130
OMSI 2,June ,2018,617.41,1416
OMSI 2,May ,2018,653.88,1390
OMSI 2,April ,2018,666.55,1564
OMSI 2,March ,2018,786.31,2026
OMSI 2,February ,2018,701.69,1617
OMSI 2,January ,2018,693.13,1590
OMSI 2,December ,2017,723.87,1674
OMSI 2,November ,2017,676.98,1652
OMSI 2,October ,2017,703.74,1843
OMSI 2,September ,2017,623.66,1497
OMSI 2,August ,2017,618.33,1270
OMSI 2,July ,2017,669.09,1443
OMSI 2,June ,2017,592.17,1496
OMSI 2,May ,2017,523.47,1167
OMSI 2,April ,2017,583.66,1237
OMSI 2,March ,2017,552.42,1343
OMSI 2,February ,2017,601.1,1399
OMSI 2,January ,2017,601.87,1368
OMSI 2,December ,2016,599.39,1347
OMSI 2,November ,2016,521.35,1263
OMSI 2,October ,2016,606.74,1426
OMSI 2,September ,2016,525.57,1358
OMSI 2,August ,2016,525.86,1072
OMSI 2,July ,2016,517.44,1141
OMSI 2,June ,2016,512.68,1148
OMSI 2,May ,2016,522.34,1222
OMSI 2,April ,2016,533.84,1241
OMSI 2,March ,2016,600.04,1364
OMSI 2,February ,2016,558.65,1354
OMSI 2,January ,2016,604.82,1394
OMSI 2,December ,2015,597.24,1414
OMSI 2,November ,2015,493.64,1214
OMSI 2,October ,2015,501.4,1150
OMSI 2,September ,2015,415.14,1094
OMSI 2,August ,2015,372.05,738
OMSI 2,July ,2015,410.05,886
OMSI 2,June ,2015,447.93,1266
OMSI 2,May ,2015,373.19,851
OMSI 2,April ,2015,405.76,988
OMSI 2,March ,2015,414.58,987
OMSI 2,February ,2015,436.08,1032
OMSI 2,January ,2015,424.03,1003
OMSI 2,December ,2014,420.85,1036
OMSI 2,November ,2014,336.17,981
OMSI 2,October ,2014,324.46,722
OMSI 2,September ,2014,312.62,790
OMSI 2,August ,2014,328.34,725
OMSI 2,July ,2014,324.09,715
OMSI 2,June ,2014,282.17,876
OMSI 2,May ,2014,285.8,673
OMSI 2,April ,2014,255.43,601
OMSI 2,March ,2014,256.03,644
OMSI 2,February ,2014,280.98,768
OMSI 2,January ,2014,285.03,780
OMSI 2,December ,2013,264.74,1038
OMSI 2,November ,2013,0.45,4
The Elder Scrolls IV: Oblivion ,February ,2021,1352.43,2439
The Elder Scrolls IV: Oblivion ,January ,2021,1369.92,2439
The Elder Scrolls IV: Oblivion ,December ,2020,1153.49,2143
The Elder Scrolls IV: Oblivion ,November ,2020,1079.77,2155
The Elder Scrolls IV: Oblivion ,October ,2020,1051.2,1871
The Elder Scrolls IV: Oblivion ,September ,2020,1201.12,2084
The Elder Scrolls IV: Oblivion ,August ,2020,1452.82,2731
The Elder Scrolls IV: Oblivion ,July ,2020,1469.23,2538
The Elder Scrolls IV: Oblivion ,June ,2020,1429.74,2957
The Elder Scrolls IV: Oblivion ,May ,2020,1288.76,2147
The Elder Scrolls IV: Oblivion ,April ,2020,1340.8,2157
The Elder Scrolls IV: Oblivion ,March ,2020,1104.59,2200
The Elder Scrolls IV: Oblivion ,February ,2020,1058.56,2045
The Elder Scrolls IV: Oblivion ,January ,2020,1090.83,1918
The Elder Scrolls IV: Oblivion ,December ,2019,985.94,1860
The Elder Scrolls IV: Oblivion ,November ,2019,806.15,1544
The Elder Scrolls IV: Oblivion ,October ,2019,782.95,1432
The Elder Scrolls IV: Oblivion ,September ,2019,857.4,1640
The Elder Scrolls IV: Oblivion ,August ,2019,1128.59,1939
The Elder Scrolls IV: Oblivion ,July ,2019,1086.5,2265
The Elder Scrolls IV: Oblivion ,June ,2019,878.7,1489
The Elder Scrolls IV: Oblivion ,May ,2019,838.67,1533
The Elder Scrolls IV: Oblivion ,April ,2019,1091.95,2104
The Elder Scrolls IV: Oblivion ,March ,2019,906.47,2418
The Elder Scrolls IV: Oblivion ,February ,2019,818.46,1579
The Elder Scrolls IV: Oblivion ,January ,2019,918.06,1805
The Elder Scrolls IV: Oblivion ,December ,2018,918.02,1762
The Elder Scrolls IV: Oblivion ,November ,2018,774.42,1784
The Elder Scrolls IV: Oblivion ,October ,2018,835.06,1594
The Elder Scrolls IV: Oblivion ,September ,2018,838.16,1600
The Elder Scrolls IV: Oblivion ,August ,2018,1026.61,2095
The Elder Scrolls IV: Oblivion ,July ,2018,1243.47,2287
The Elder Scrolls IV: Oblivion ,June ,2018,1271.45,2654
The Elder Scrolls IV: Oblivion ,May ,2018,827.07,1473
The Elder Scrolls IV: Oblivion ,April ,2018,902.59,1675
The Elder Scrolls IV: Oblivion ,March ,2018,898.72,1639
The Elder Scrolls IV: Oblivion ,February ,2018,940.99,1879
The Elder Scrolls IV: Oblivion ,January ,2018,1045.79,2027
The Elder Scrolls IV: Oblivion ,December ,2017,944.69,1900
The Elder Scrolls IV: Oblivion ,November ,2017,785.1,1844
The Elder Scrolls IV: Oblivion ,October ,2017,754.22,1449
The Elder Scrolls IV: Oblivion ,September ,2017,979.7,2041
The Elder Scrolls IV: Oblivion ,August ,2017,1120.27,2562
The Elder Scrolls IV: Oblivion ,July ,2017,1207.8,2317
The Elder Scrolls IV: Oblivion ,June ,2017,989.57,2122
The Elder Scrolls IV: Oblivion ,May ,2017,732.6,1323
The Elder Scrolls IV: Oblivion ,April ,2017,688.37,1242
The Elder Scrolls IV: Oblivion ,March ,2017,671.88,1267
The Elder Scrolls IV: Oblivion ,February ,2017,761.7,1401
The Elder Scrolls IV: Oblivion ,January ,2017,856.77,1765
The Elder Scrolls IV: Oblivion ,December ,2016,852.69,1539
The Elder Scrolls IV: Oblivion ,November ,2016,783.74,1823
The Elder Scrolls IV: Oblivion ,October ,2016,631.94,1187
The Elder Scrolls IV: Oblivion ,September ,2016,623.27,1133
The Elder Scrolls IV: Oblivion ,August ,2016,917.71,1959
The Elder Scrolls IV: Oblivion ,July ,2016,1012.41,2102
The Elder Scrolls IV: Oblivion ,June ,2016,861.61,1687
The Elder Scrolls IV: Oblivion ,May ,2016,657.03,1258
The Elder Scrolls IV: Oblivion ,April ,2016,631.15,1245
The Elder Scrolls IV: Oblivion ,March ,2016,655.29,1246
The Elder Scrolls IV: Oblivion ,February ,2016,695.41,1375
The Elder Scrolls IV: Oblivion ,January ,2016,696.76,1470
The Elder Scrolls IV: Oblivion ,December ,2015,655.86,1294
The Elder Scrolls IV: Oblivion ,November ,2015,494.57,1137
The Elder Scrolls IV: Oblivion ,October ,2015,496.95,954
The Elder Scrolls IV: Oblivion ,September ,2015,510.08,988
The Elder Scrolls IV: Oblivion ,August ,2015,656.01,1193
The Elder Scrolls IV: Oblivion ,July ,2015,753.45,1634
The Elder Scrolls IV: Oblivion ,June ,2015,775.52,1788
The Elder Scrolls IV: Oblivion ,May ,2015,566.07,1003
The Elder Scrolls IV: Oblivion ,April ,2015,566,1025
The Elder Scrolls IV: Oblivion ,March ,2015,612.82,1238
The Elder Scrolls IV: Oblivion ,February ,2015,622.94,1160
The Elder Scrolls IV: Oblivion ,January ,2015,718.88,1529
The Elder Scrolls IV: Oblivion ,December ,2014,603.89,1317
The Elder Scrolls IV: Oblivion ,November ,2014,469.76,910
The Elder Scrolls IV: Oblivion ,October ,2014,444.58,839
The Elder Scrolls IV: Oblivion ,September ,2014,482.3,927
The Elder Scrolls IV: Oblivion ,August ,2014,642.74,1254
The Elder Scrolls IV: Oblivion ,July ,2014,736.29,1830
The Elder Scrolls IV: Oblivion ,June ,2014,577.3,1069
